Año,Mes,Día,Hora,Minuto,Segundo,Dato
2024,09,18,21,27,59,Movimiento Detectado
2024,09,18,21,28,03,Movimiento Detectado
2024,09,18,21,28,04,Movimiento Detectado
2024,09,18,21,28,07,Movimiento Detectado
2024,09,18,21,28,12,Movimiento Detectado
2024,09,18,21,28,17,Movimiento Detectado
2024,09,18,21,28,22,Movimiento Detectado
2024,09,18,21,28,28,Movimiento Detectado
2024,09,18,21,28,53,Movimiento Detectado
2024,09,18,21,29,00,Movimiento Detectado
2024,09,18,21,29,12,Movimiento Detectado
2024,09,18,21,29,22,Movimiento Detectado
2024,09,18,21,29,23,Movimiento Detectado
2024,09,18,21,29,28,Movimiento Detectado
2024,09,18,21,29,33,Movimiento Detectado
2024,09,18,21,29,37,Movimiento Detectado
2024,09,18,21,29,41,Movimiento Detectado
2024,09,18,21,29,45,Movimiento Detectado
2024,09,18,21,29,46,Movimiento Detectado
2024,09,18,21,29,50,Movimiento Detectado
2024,09,18,21,29,55,Movimiento Detectado
2024,09,18,21,30,04,Movimiento Detectado
2024,09,18,21,30,05,Movimiento Detectado
2024,09,18,21,30,09,Movimiento Detectado
2024,09,18,21,30,11,Movimiento Detectado
2024,09,18,21,30,14,Movimiento Detectado
2024,09,18,21,30,15,Movimiento Detectado
2024,09,18,21,30,18,Movimiento Detectado
2024,09,18,21,30,19,Movimiento Detectado
2024,09,18,21,30,32,Movimiento Detectado
2024,09,18,21,30,37,Movimiento Detectado
2024,09,18,21,30,50,Movimiento Detectado
2024,09,18,21,30,54,Movimiento Detectado
2024,09,18,21,30,58,Movimiento Detectado
2024,09,18,21,31,02,Movimiento Detectado
2024,09,18,21,31,07,Movimiento Detectado
2024,09,18,21,31,08,Movimiento Detectado
2024,09,18,21,31,16,Movimiento Detectado
2024,09,18,21,31,17,Movimiento Detectado
2024,09,18,21,31,21,Movimiento Detectado
2024,09,18,21,31,22,Movimiento Detectado
2024,09,18,21,31,26,Movimiento Detectado
2024,09,18,21,31,27,Movimiento Detectado
2024,09,18,21,31,31,Movimiento Detectado
2024,09,18,21,31,37,Movimiento Detectado
2024,09,18,21,31,41,Movimiento Detectado
2024,09,18,21,31,45,Movimiento Detectado
2024,09,18,21,31,49,Movimiento Detectado
2024,09,18,21,31,57,Movimiento Detectado
2024,09,18,21,32,03,Movimiento Detectado
2024,09,18,21,32,11,Movimiento Detectado
2024,09,18,21,32,26,Movimiento Detectado
2024,09,18,21,32,37,Movimiento Detectado
2024,09,18,21,32,49,Movimiento Detectado
2024,09,18,21,33,07,Movimiento Detectado
2024,09,18,21,33,14,Movimiento Detectado
2024,09,18,21,33,19,Movimiento Detectado
2024,09,18,21,33,45,Movimiento Detectado
2024,09,18,21,33,46,Movimiento Detectado
2024,09,18,21,33,51,Movimiento Detectado
2024,09,18,21,33,55,Movimiento Detectado
2024,09,18,21,33,56,Movimiento Detectado
2024,09,18,21,34,05,Movimiento Detectado
2024,09,18,21,34,06,Movimiento Detectado
2024,09,18,21,34,12,Movimiento Detectado
2024,09,18,21,34,16,Movimiento Detectado
2024,09,18,21,34,25,Movimiento Detectado
2024,09,18,21,34,26,Movimiento Detectado
2024,09,18,21,34,29,Movimiento Detectado
2024,09,18,21,34,36,Movimiento Detectado
2024,09,18,21,34,37,Movimiento Detectado
2024,09,18,21,39,39,Movimiento Detectado
2024,09,18,21,39,43,Movimiento Detectado
2024,09,18,21,39,44,Movimiento Detectado
2024,09,18,21,39,48,Movimiento Detectado
2024,09,18,21,39,49,Movimiento Detectado
2024,09,18,21,39,53,Movimiento Detectado
2024,09,18,21,39,57,Movimiento Detectado
2024,09,18,21,40,02,Movimiento Detectado
2024,09,18,21,40,17,Movimiento Detectado
2024,09,18,21,40,30,Movimiento Detectado
2024,09,18,21,40,31,Movimiento Detectado
2024,09,18,21,40,41,Movimiento Detectado
2024,09,18,21,40,42,Movimiento Detectado
2024,09,18,21,41,13,Movimiento Detectado
2024,09,18,21,41,20,Movimiento Detectado
2024,09,18,21,41,34,Movimiento Detectado
2024,09,18,21,41,41,Movimiento Detectado
2024,09,18,21,41,42,Movimiento Detectado
2024,09,18,21,42,11,Movimiento Detectado
2024,09,18,21,42,17,Movimiento Detectado
2024,09,18,21,42,27,Movimiento Detectado
2024,09,18,21,42,31,Movimiento Detectado
2024,09,18,21,42,32,Movimiento Detectado
2024,09,18,21,42,42,Movimiento Detectado
2024,09,18,21,42,46,Movimiento Detectado
2024,09,18,21,42,47,Movimiento Detectado
2024,09,18,21,42,50,Movimiento Detectado
2024,09,18,21,42,51,Movimiento Detectado
2024,09,18,21,42,54,Movimiento Detectado
2024,09,18,21,42,58,Movimiento Detectado
2024,09,18,21,42,59,Movimiento Detectado
2024,09,18,21,43,02,Movimiento Detectado
2024,09,18,21,43,03,Movimiento Detectado
2024,09,18,21,43,06,Movimiento Detectado
2024,09,18,21,43,11,Movimiento Detectado
2024,09,18,21,43,18,Movimiento Detectado
2024,09,18,21,43,19,Movimiento Detectado
2024,09,18,21,43,26,Movimiento Detectado
2024,09,18,21,43,31,Movimiento Detectado
2024,09,18,21,43,32,Movimiento Detectado
2024,09,18,21,43,35,Movimiento Detectado
2024,09,18,21,43,36,Movimiento Detectado
2024,09,18,21,43,47,Movimiento Detectado
2024,09,18,21,43,48,Movimiento Detectado
2024,09,18,21,43,53,Movimiento Detectado
2024,09,18,21,43,54,Movimiento Detectado
2024,09,18,21,43,58,Movimiento Detectado
2024,09,18,21,44,04,Movimiento Detectado
2024,09,18,21,44,08,Movimiento Detectado
2024,09,18,21,44,13,Movimiento Detectado
2024,09,18,21,44,17,Movimiento Detectado
2024,09,18,21,44,26,Movimiento Detectado
2024,09,18,21,44,32,Movimiento Detectado
2024,09,18,21,44,37,Movimiento Detectado
2024,09,18,21,44,41,Movimiento Detectado
2024,09,18,21,44,45,Movimiento Detectado
2024,09,18,21,44,50,Movimiento Detectado
2024,09,18,21,44,51,Movimiento Detectado
2024,09,18,21,44,55,Movimiento Detectado
2024,09,18,21,44,59,Movimiento Detectado
2024,09,18,21,45,00,Movimiento Detectado
2024,09,18,21,45,11,Movimiento Detectado
2024,09,18,21,45,36,Movimiento Detectado
2024,09,18,21,45,41,Movimiento Detectado
2024,09,18,21,45,47,Movimiento Detectado
2024,09,18,21,45,48,Movimiento Detectado
2024,09,18,21,45,52,Movimiento Detectado
2024,09,18,21,45,56,Movimiento Detectado
2024,09,18,21,46,00,Movimiento Detectado
2024,09,18,21,46,01,Movimiento Detectado
2024,09,18,21,46,04,Movimiento Detectado
2024,09,18,21,46,05,Movimiento Detectado
2024,09,18,21,46,08,Movimiento Detectado
2024,09,18,21,46,09,Movimiento Detectado
2024,09,18,21,46,12,Movimiento Detectado
2024,09,18,21,46,17,Movimiento Detectado
2024,09,18,21,46,24,Movimiento Detectado
2024,09,18,21,46,25,Movimiento Detectado
2024,09,18,21,46,28,Movimiento Detectado
2024,09,18,21,46,29,Movimiento Detectado
2024,09,18,21,46,33,Movimiento Detectado
2024,09,18,21,46,38,Movimiento Detectado
2024,09,18,21,46,39,Movimiento Detectado
2024,09,18,21,46,42,Movimiento Detectado
2024,09,18,21,46,43,Movimiento Detectado
2024,09,18,21,46,47,Movimiento Detectado
2024,09,18,21,46,51,Movimiento Detectado
2024,09,18,21,46,54,Movimiento Detectado
2024,09,18,21,46,55,Movimiento Detectado
2024,09,18,21,46,58,Movimiento Detectado
2024,09,18,21,46,59,Movimiento Detectado
2024,09,18,21,47,03,Movimiento Detectado
2024,09,18,21,47,04,Movimiento Detectado
2024,09,18,21,47,14,Movimiento Detectado
2024,09,18,21,47,15,Movimiento Detectado
2024,09,18,21,47,18,Movimiento Detectado
2024,09,18,21,47,19,Movimiento Detectado
2024,09,18,21,47,23,Movimiento Detectado
2024,09,18,21,47,27,Movimiento Detectado
2024,09,18,21,47,29,Movimiento Detectado
2024,09,18,21,47,33,Movimiento Detectado
2024,09,18,21,47,38,Movimiento Detectado
2024,09,18,21,47,41,Movimiento Detectado
2024,09,18,21,47,42,Movimiento Detectado
2024,09,18,21,47,45,Movimiento Detectado
2024,09,18,21,47,46,Movimiento Detectado
2024,09,18,21,47,49,Movimiento Detectado
2024,09,18,21,47,50,Movimiento Detectado
2024,09,18,21,47,53,Movimiento Detectado
2024,09,18,21,47,54,Movimiento Detectado
2024,09,18,21,47,59,Movimiento Detectado
2024,09,18,21,48,03,Movimiento Detectado
2024,09,18,21,48,07,Movimiento Detectado
2024,09,18,21,48,11,Movimiento Detectado
2024,09,18,21,48,20,Movimiento Detectado
2024,09,18,21,48,25,Movimiento Detectado
2024,09,18,21,48,35,Movimiento Detectado
2024,09,18,21,48,40,Movimiento Detectado
2024,09,18,21,48,41,Movimiento Detectado
2024,09,18,21,48,46,Movimiento Detectado
2024,09,18,21,48,47,Movimiento Detectado
2024,09,18,21,48,51,Movimiento Detectado
2024,09,18,21,48,52,Movimiento Detectado
2024,09,18,21,48,56,Movimiento Detectado
2024,09,18,21,49,03,Movimiento Detectado
2024,09,18,21,49,09,Movimiento Detectado
2024,09,18,21,49,10,Movimiento Detectado
2024,09,18,21,49,14,Movimiento Detectado
2024,09,18,21,49,20,Movimiento Detectado
2024,09,18,21,49,31,Movimiento Detectado
2024,09,18,21,49,43,Movimiento Detectado
2024,09,18,21,49,47,Movimiento Detectado
2024,09,18,21,49,48,Movimiento Detectado
2024,09,18,21,49,52,Movimiento Detectado
2024,09,18,21,49,53,Movimiento Detectado
2024,09,18,21,50,13,Movimiento Detectado
2024,09,18,21,50,14,Movimiento Detectado
2024,09,18,21,50,19,Movimiento Detectado
2024,09,18,21,50,20,Movimiento Detectado
2024,09,18,21,50,25,Movimiento Detectado
2024,09,18,21,50,26,Movimiento Detectado
2024,09,18,21,50,29,Movimiento Detectado
2024,09,18,21,50,30,Movimiento Detectado
2024,09,18,21,50,35,Movimiento Detectado
2024,09,18,21,50,39,Movimiento Detectado
2024,09,18,21,50,40,Movimiento Detectado
2024,09,18,21,50,43,Movimiento Detectado
2024,09,18,21,50,49,Movimiento Detectado
2024,09,18,21,50,53,Movimiento Detectado
2024,09,18,21,50,56,Movimiento Detectado
2024,09,18,21,50,57,Movimiento Detectado
2024,09,18,21,51,02,Movimiento Detectado
2024,09,18,21,51,07,Movimiento Detectado
