Año,Mes,Dia,Hora,Minuto,Segundo,Dato
2024,09,18,17,42,56,Movimiento Detectado
2024,09,18,17,42,57,Movimiento Detectado
2024,09,18,17,43,01,Movimiento Detectado
2024,09,18,17,43,05,Movimiento Detectado
2024,09,18,17,43,06,Movimiento Detectado
2024,09,18,17,43,10,Movimiento Detectado
2024,09,18,17,43,14,Movimiento Detectado
2024,09,18,17,43,15,Movimiento Detectado
2024,09,18,17,43,19,Movimiento Detectado
2024,09,18,17,43,26,Movimiento Detectado
2024,09,18,17,43,30,Movimiento Detectado
2024,09,18,17,43,37,Movimiento Detectado
2024,09,18,17,43,38,Movimiento Detectado
2024,09,18,17,43,41,Movimiento Detectado
2024,09,18,17,43,51,Movimiento Detectado
2024,09,18,17,43,56,Movimiento Detectado
2024,09,18,17,43,57,Movimiento Detectado
2024,09,18,17,44,00,Movimiento Detectado
2024,09,18,17,44,01,Movimiento Detectado
2024,09,18,17,44,04,Movimiento Detectado
2024,09,18,17,44,05,Movimiento Detectado
2024,09,18,17,44,08,Movimiento Detectado
2024,09,18,17,44,09,Movimiento Detectado
2024,09,18,17,44,13,Movimiento Detectado
2024,09,18,17,44,17,Movimiento Detectado
2024,09,18,17,44,21,Movimiento Detectado
2024,09,18,17,44,25,Movimiento Detectado
2024,09,18,17,44,29,Movimiento Detectado
2024,09,18,17,44,32,Movimiento Detectado
2024,09,18,17,44,33,Movimiento Detectado
2024,09,18,17,44,37,Movimiento Detectado
2024,09,18,17,45,03,Movimiento Detectado
2024,09,18,17,45,06,Movimiento Detectado
2024,09,18,17,45,07,Movimiento Detectado
2024,09,18,17,45,22,Movimiento Detectado
2024,09,18,17,45,27,Movimiento Detectado
2024,09,18,17,45,34,Movimiento Detectado
2024,09,18,17,45,35,Movimiento Detectado
2024,09,18,17,45,41,Movimiento Detectado
2024,09,18,17,45,45,Movimiento Detectado
2024,09,18,17,45,50,Movimiento Detectado
2024,09,18,17,45,55,Movimiento Detectado
2024,09,18,17,46,00,Movimiento Detectado
2024,09,18,17,46,04,Movimiento Detectado
2024,09,18,17,46,10,Movimiento Detectado
2024,09,18,17,46,18,Movimiento Detectado
2024,09,18,17,46,22,Movimiento Detectado
2024,09,18,17,46,26,Movimiento Detectado
2024,09,18,17,46,27,Movimiento Detectado
2024,09,18,17,46,31,Movimiento Detectado
2024,09,18,17,46,36,Movimiento Detectado
2024,09,18,17,46,37,Movimiento Detectado
2024,09,18,17,46,41,Movimiento Detectado
2024,09,18,17,46,46,Movimiento Detectado
2024,09,18,17,46,51,Movimiento Detectado
2024,09,18,17,46,55,Movimiento Detectado
2024,09,18,17,46,56,Movimiento Detectado
2024,09,18,17,46,59,Movimiento Detectado
2024,09,18,17,47,00,Movimiento Detectado
2024,09,18,17,47,05,Movimiento Detectado
2024,09,18,17,47,11,Movimiento Detectado
2024,09,18,17,47,12,Movimiento Detectado
2024,09,18,17,47,15,Movimiento Detectado
2024,09,18,17,47,20,Movimiento Detectado
2024,09,18,17,47,25,Movimiento Detectado
2024,09,18,17,47,26,Movimiento Detectado
2024,09,18,17,47,29,Movimiento Detectado
2024,09,18,17,47,30,Movimiento Detectado
2024,09,18,17,47,36,Movimiento Detectado
2024,09,18,17,47,42,Movimiento Detectado
2024,09,18,17,47,46,Movimiento Detectado
2024,09,18,17,47,50,Movimiento Detectado
2024,09,18,17,47,54,Movimiento Detectado
2024,09,18,17,47,58,Movimiento Detectado
2024,09,18,17,48,01,Movimiento Detectado
2024,09,18,17,48,02,Movimiento Detectado
2024,09,18,17,48,05,Movimiento Detectado
2024,09,18,17,48,06,Movimiento Detectado
2024,09,18,17,48,10,Movimiento Detectado
2024,09,18,17,48,14,Movimiento Detectado
2024,09,18,17,48,18,Movimiento Detectado
2024,09,18,17,48,24,Movimiento Detectado
2024,09,18,17,48,28,Movimiento Detectado
2024,09,18,17,48,29,Movimiento Detectado
2024,09,18,17,48,33,Movimiento Detectado
2024,09,18,17,48,37,Movimiento Detectado
